# Amazon Bedrock User Guide - Document History (Fetched 2026-06-01)

**Latest documentation update banner:** November 26th, 2025; newest dated rows May 27, 2026.

| Change | Description | Date |
|--------|-------------|------|
| Removed requests-per-minute (RPM) quotas | RPM quotas no longer enforced on bedrock-runtime / bedrock-mantle; throttling now token-based. RPM rows removed from quotas terminology. [Quota change — not a new surface] | May 27, 2026 |
| Quotas for the bedrock-runtime endpoint | New doc page describing per-model token quotas governing inference traffic; links to custom inference profiles, batch inference, Provisioned Throughput. [Doc page] | May 27, 2026 |
| Quotas for the bedrock-mantle endpoint | New doc page documenting per-model input/output token quotas, defaults for Anthropic Claude Opus 4.7, request evaluation order, differences from bedrock-runtime, quota-increase process. [Doc page] | May 27, 2026 |
| Token counting on the bedrock-mantle endpoint | Documented how to count input tokens through the Anthropic count_tokens path on the bedrock-mantle endpoint, including for Claude models not supported by CountTokens on bedrock-runtime. [Doc update to existing endpoint — not a new surface] | May 26, 2026 |
| Converse API support for batch inference | Use Converse API format for batch inference input data with consistent request format across models. | February 27, 2026 |
| Fine-tuning open-weight models with OpenAI-compatible APIs | Create, monitor, and manage reinforcement fine-tuning jobs for open-weight models through OpenAI SDK endpoints (Files API, fine-tuning jobs APIs, inference APIs). | February 17, 2026 |
| Updated list of models supported for service tiers | Updated for priority and flex service tiers. | December 31, 2025 |
| Blueprint instruction optimization | Amazon Bedrock Data Automation supports blueprint instruction optimization for documents with ground truth labels. | December 18, 2025 |
| New managed policies | Added AmazonBedrockMantleFullAccess, AmazonBedrockMantleReadOnly, AmazonBedrockMantleInferenceAccess for Amazon Bedrock Mantle. | December 3, 2025 |
| OpenAI compatible API endpoints | Amazon Bedrock Mantle supports OpenAI-compatible Responses API and Chat Completions API for asynchronous inference, stateful conversation management, simplified tool use. | December 3, 2025 |
| Reinforcement fine-tuning | New reinforcement fine-tuning feature for foundation models through feedback signals. | December 3, 2025 |
| Reserved service tier | New "Reserved" service tier for Bedrock inference. | November 26, 2025 |
| Claude Opus 4.5 support | New Anthropic Claude Opus 4.5 model. | November 24, 2025 |
| Cross-account Guardrails sharing | Share guardrails across accounts within an AWS organization. | November 21, 2025 |
| BDA Synchronous Invocation | Direct API invocation for Data Automation. | November 20, 2025 |
| Custom model import for GPT-OSS | Custom model import now supports OpenAI GPT-OSS models. | November 19, 2025 |
| Guardrails Standard tier coding enhancements | Enhanced support for coding use cases. | November 19, 2025 |
